Name,Slot,Description,View Desc,Price,1/2 Price,Upgrade,CL,Weight (lb),Strength,School,Crafting Feat,Spells Needed,Other Reqs,Base Crafting DC, Num Req,Source,URL,Notes
Amulet of Bullet Protection +3,Neck,"This amulet, usually crafted from the splintered remains of spent firearm bullets shaped into a rough holy symbol or clover, grants the wearer a luck bonus to AC against firearm attacks that target touch AC.",No,"13,500 ","6,750 ",Amulet of Bullet Protection +4,5,0,Faint,Abjuration,Craft Wondrous Item,Divine Favor,(CL) 9,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-bullet-protection,
Amulet of Bullet Protection +4,Neck,"This amulet, usually crafted from the splintered remains of spent firearm bullets shaped into a rough holy symbol or clover, grants the wearer a luck bonus to AC against firearm attacks that target touch AC.",No,"24,000 ","12,000 ",Amulet of Bullet Protection +5,5,0,Faint,Abjuration,Craft Wondrous Item,Divine Favor,(CL) 12,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-bullet-protection,
Amulet of Bullet Protection +5,Neck,"This amulet, usually crafted from the splintered remains of spent firearm bullets shaped into a rough holy symbol or clover, grants the wearer a luck bonus to AC against firearm attacks that target touch AC.",No,"37,500 ","18,750 ",-,5,0,Faint,Abjuration,Craft Wondrous Item,Divine Favor,(CL) 15,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-bullet-protection,
Amulet of Channeled Life,Neck,"This amulet consists of a pale translucent gem in a dull gray metal setting etched with ancient runes. When worn by an individual with the negative energy affinity racial trait, it alters the effects of positive energy on his body. When targeted by positive energy that heals living creatures, the wearer instead gains half the hit points the positive energy heals as temporary hit points. These temporary hit points go away after 10 minutes. This effect does not stack with life channel or other effects that convert healing positive energy to temporary hit points. This item does not actually transpose positive energy into negative energy, it just affects the way the wearer's body reacts to positive energy. Only a living creature can benefit from this amulet; it provides no benefit to undead.",No,"12,000 ","6,000 ",-,10,0.5,Moderate,Transmutation,Craft Wondrous Item,Life Channel,-,20,1,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-channeled-life,
Amulet of Elemental Strife,Neck,"This amulet shines brightly when brought within 60 feet of an outsider with the elemental subtype, shedding light as a torch. The amulet glows a different color depending on the subtype of the elemental or elementals present (white for air, yellow for earth, red for fire, and blue for water). If more than one subtype is present, the gem flickers back and forth between the appropriate colors. The wearer gains resistance 5 against a single energy type determined by the subtype of the closest elemental present (air grants electricity resistance, earth grants acid resistance, fire grants fire resistance, and water grants cold resistance). If the closest elemental possesses multiple subtypes, the wearer may choose which type of resistance she gains. This energy resistance only applies against attacks from elementals. The amulet also allows any attacks made by the wearer to bypass the damage reduction of such creatures.",No,"4,000 ","2,000 ",-,8,1,Moderate,Abjuration,Craft Wondrous Item,Resist Energy,(Level) 8,23,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-elemental-strife,
Amulet of Euphoric Healing,Neck,"While worn, the magical liquid within the amulet tinges the user's healing magic with a wash of ecstasy that acts as a magical drug, making the recipient of the healing more susceptible to mental manipulation by the wearer of the amulet. Anytime the wearer casts a healing spell or uses a spell-like ability on a single target, the recipient of the magical healing additionally must succeed at a DC 13 Fortitude save or become addicted to the wearer's healing spells. The wearer can suppress this effect by shielding the amulet from view with a hand or held item as a free action.",No,"12,000 ","6,000 ",-,3,1,Faint,Enchantment,Craft Wondrous Item,Cure Light Wounds + Enthrall,-,18,2,PPC: Champions of Corruption,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-euphoric-healing,
Amulet of Grappling,Neck,"This nearly perfect pearl replica of a hand is attached to a gold chain and can be worn as an amulet. Once per day, the wearer can animate the hand as an immediate action. The hand attempts to grapple an adjacent foe of Medium size or smaller, using the wearer’s CMB. If it succeeds, the hand deals 1d4 non-lethal damage every round it maintains a grapple. If the grapple attempt fails or the victim escapes the grapple, the hand ceases its activity. If any creature within reach of the amulet (including the wearer) attempts to steal anything, the hand activates and attempts to choke the creature. If the amulet is not currently worn, it uses the victim’s own CMB and Strength to determine the attack bonus and damage.",No,"20,258 ","10,129 ",-,9,2,Moderate,Evocation,Craft Wondrous Item,Interposing Hand,-,19,1,PAP 27: What Lies in Dust,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-grappling,
Amulet of Grasping Souls,Neck,"This amulet can be worn by both corporeal and incorporeal creatures. If worn by a corporeal creature, it confers the ghost touch special ability on her natural attacks and weapons she wields (even thrown weapons and projectiles). Once per day as a swift action, the wearer can make the next spell she casts affect incorporeal creatures as though she were using the Ectoplasmic Spell metamagic feat but without increasing the spell level. When an incorporeal creature wears the amulet, it can interact with it surroundings. Any item in its possession becomes incorporeal, allowing the incorporeal creature to take items and phase through objects with them. An incorporeal creature without a Strength score uses its Charisma score to determine how much it can carry.",No,"21,000 ","10,500 ",-,13,0,Strong,Transmutation,Craft Wondrous Item,Plane Shift,(Feat) Ectoplasmic Spell,28,2,PM: Tears at Bitter Manor,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-grasping-souls,
Amulet of Hidden Light,Neck,"This large amulet crafted of rough-cut glass can, on command, shed light as a sunrod. Unlike a normal light source, creatures outside this area* cannot see the amulet's light.",No,"9,000 ","4,500 ",-,3,0,Faint,Illusion,Craft Wondrous Item,Light + Invisibility,-,18,2,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-hidden-light,
Amulet of Hidden Strength,Neck,"This glass teardrop hangs on a platinum chain and can be used once per day to grant a surge of power. This surge can be used in one of two ways. As a swift action, the wearer of the amulet can make one melee or ranged attack at his highest attack bonus. Alternatively, if the wearer of the amulet has a ki pool, he can instead focus on the power of the amulet as a full-round action and regain two ki points.",No,"9,000 ","4,500 ",-,5,0,Faint,Transmutation,Craft Wondrous Item,-,(Misc) has a ki pool,15,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-hidden-strength,
Amulet of Magecraft,Neck,"A universalist wizard who selects the amulet as his bonded object may choose one school of spells each day when he prepares spells. He then can use the necklace to spontaneously convert any prepared wizard spell of that school into any other wizard spell of that school he knows; the desired spell must be of the same level or lower than the prepared spell. For example, if the wizard chose “evocation” when he prepared his spells that morning, until the next time he prepares spells, he can spontaneously convert a prepared fireball into any other evocation wizard spell of 3rd level or lower that he knows.",No,"20,000 ","10,000 ",-,9,2,Moderate,Universal,Craft Wondrous Item,Permanency,(School) Universalist,24,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-magecraft,
Amulet of Mighty Fists +1,Neck,"This amulet grants an enhancement bonus of +1 on attack and damage rolls with unarmed attacks and natural weapons. Alternatively, this amulet can grant melee weapon special abilities, so long as they can be applied to unarmed attacks. See Table: Melee Weapon Special Abilities for a list of abilities. Special abilities count as additional bonuses for determining the market value of the item, but do not modify attack or damage bonuses. An amulet of mighty fists cannot have a modified bonus (enhancement bonus plus special ability bonus equivalents) higher than +5. An amulet of mighty fists does not need to have a +1 enhancement bonus to grant a melee weapon special ability.",No,"4,000 ","2,000 ",Amulet of Mighty Fists +2,5,0,Faint,Evocation,Craft Wondrous Item,Greater Magic Fang,(CL) 3 + (Misc) requirements of any special abilities,20,2,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-mighty-fists,
Amulet of Mighty Fists +2,Neck,"This amulet grants an enhancement bonus of +2 on attack and damage rolls with unarmed attacks and natural weapons. Alternatively, this amulet can grant melee weapon special abilities, so long as they can be applied to unarmed attacks. See Table: Melee Weapon Special Abilities for a list of abilities. Special abilities count as additional bonuses for determining the market value of the item, but do not modify attack or damage bonuses. An amulet of mighty fists cannot have a modified bonus (enhancement bonus plus special ability bonus equivalents) higher than +5. An amulet of mighty fists does not need to have a +1 enhancement bonus to grant a melee weapon special ability.",No,"16,000 ","8,000 ",Amulet of Mighty Fists +3,5,0,Faint,Evocation,Craft Wondrous Item,Greater Magic Fang,(CL) 6 + (Misc) requirements of any special abilities,20,2,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-mighty-fists,
Amulet of Mighty Fists +3,Neck,"This amulet grants an enhancement bonus of +3 on attack and damage rolls with unarmed attacks and natural weapons. Alternatively, this amulet can grant melee weapon special abilities, so long as they can be applied to unarmed attacks. See Table: Melee Weapon Special Abilities for a list of abilities. Special abilities count as additional bonuses for determining the market value of the item, but do not modify attack or damage bonuses. An amulet of mighty fists cannot have a modified bonus (enhancement bonus plus special ability bonus equivalents) higher than +5. An amulet of mighty fists does not need to have a +1 enhancement bonus to grant a melee weapon special ability.",No,"36,000 ","18,000 ",Amulet of Mighty Fists +4,5,0,Faint,Evocation,Craft Wondrous Item,Greater Magic Fang,(CL) 9 + (Misc) requirements of any special abilities,20,2,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-mighty-fists,
Amulet of Mighty Fists +4,Neck,"This amulet grants an enhancement bonus of +4 on attack and damage rolls with unarmed attacks and natural weapons. Alternatively, this amulet can grant melee weapon special abilities, so long as they can be applied to unarmed attacks. See Table: Melee Weapon Special Abilities for a list of abilities. Special abilities count as additional bonuses for determining the market value of the item, but do not modify attack or damage bonuses. An amulet of mighty fists cannot have a modified bonus (enhancement bonus plus special ability bonus equivalents) higher than +5. An amulet of mighty fists does not need to have a +1 enhancement bonus to grant a melee weapon special ability.",No,"64,000 ","32,000 ",Amulet of Mighty Fists +5,5,0,Faint,Evocation,Craft Wondrous Item,Greater Magic Fang,(CL) 12 + (Misc) requirements of any special abilities,20,2,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-mighty-fists,
Amulet of Mighty Fists +5,Neck,"This amulet grants an enhancement bonus of +5 on attack and damage rolls with unarmed attacks and natural weapons. Alternatively, this amulet can grant melee weapon special abilities, so long as they can be applied to unarmed attacks. See Table: Melee Weapon Special Abilities for a list of abilities. Special abilities count as additional bonuses for determining the market value of the item, but do not modify attack or damage bonuses. An amulet of mighty fists cannot have a modified bonus (enhancement bonus plus special ability bonus equivalents) higher than +5. An amulet of mighty fists does not need to have a +1 enhancement bonus to grant a melee weapon special ability.",No,"100,000 ","50,000 ",-,5,0,Faint,Evocation,Craft Wondrous Item,Greater Magic Fang,(CL) 15 + (Misc) requirements of any special abilities,20,2,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-mighty-fists,
Amulet of Natural Armor +1,Neck,"This amulet, usually containing some type of magically preserved monster hide or other natural armor—such as bone, horn, carapace, or beast scales—toughens the wearer’s body and flesh, giving him a +1 enhancement bonus to his natural armor.",No,"2,000 ","1,000 ",Amulet of Natural Armor +2,5,0,Faint,Transmutation,Craft Wondrous Item,Barkskin,(CL) 3,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-natural-armor,
Amulet of Natural Armor +2,Neck,"This amulet, usually containing some type of magically preserved monster hide or other natural armor—such as bone, horn, carapace, or beast scales—toughens the wearer’s body and flesh, giving him a +2 enhancement bonus to his natural armor.",No,"8,000 ","4,000 ",Amulet of Natural Armor +3,5,0,Faint,Transmutation,Craft Wondrous Item,Barkskin,(CL) 6,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-natural-armor,
Amulet of Natural Armor +3,Neck,"This amulet, usually containing some type of magically preserved monster hide or other natural armor—such as bone, horn, carapace, or beast scales—toughens the wearer’s body and flesh, giving him a +3 enhancement bonus to his natural armor.",No,"18,000 ","9,000 ",Amulet of Natural Armor +4,5,0,Faint,Transmutation,Craft Wondrous Item,Barkskin,(CL) 9,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-natural-armor,
Amulet of Natural Armor +4,Neck,"This amulet, usually containing some type of magically preserved monster hide or other natural armor—such as bone, horn, carapace, or beast scales—toughens the wearer’s body and flesh, giving him a +4 enhancement bonus to his natural armor.",No,"32,000 ","16,000 ",Amulet of Natural Armor +5,5,0,Faint,Transmutation,Craft Wondrous Item,Barkskin,(CL) 12,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-natural-armor,
Amulet of Natural Armor +5,Neck,"This amulet, usually containing some type of magically preserved monster hide or other natural armor—such as bone, horn, carapace, or beast scales—toughens the wearer’s body and flesh, giving him a +5 enhancement bonus to his natural armor.",No,"50,000 ","25,000 ",-,5,0,Faint,Transmutation,Craft Wondrous Item,Barkskin,(CL) 15,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-natural-armor,
Amulet of Proof against Detection and Location,Neck,"This silver amulet protects the wearer from scrying and magical location just as a nondetection spell does. If a divination spell is attempted against the wearer, the caster of the divination must succeed on a caster level check (1d20 + caster level) against a DC of 19 (as if the wearer had cast nondetection on herself ).",No,"35,000 ","17,500 ",-,8,0,Moderate,Abjuration,Craft Wondrous Item,Nondetection,-,18,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-proof-against-detection-and-location,
Amulet of Proof against Petrification,Neck,"This finely polished wooden amulet has the image of a blindfolded medusa carved upon its surface. Whenever the wearer fails a saving throw that would result in him being turned to stone, he is instead staggered for 1d6 rounds. If a spell or effect turns him to stone without allowing a saving throw, he is instead staggered for 1 minute. These abilities do not function while the wearer is staggered.",No,"8,000 ","4,000 ",-,8,0,Moderate,Abjuration,Craft Wondrous Item,Stone to Flesh,-,18,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-proof-against-petrification,
Amulet of Spell Cunning,Neck,This silver locket only has power when used as a wizard’s bonded object. It allows a wizard to prepare an additional 3 levels of spells per day.,No,"10,000 ","5,000 ",-,7,1,Moderate,Transmutation,Craft Wondrous Item,Mnemonic Enhancer,-,17,1,Advanced Player's Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-spell-cunning,
Amulet of Spell Mastery,Neck,This platinum locket only has power when used as a wizard’s bonded object. It allows the wizard to prepare an additional 6 levels of spells per day.,No,"22,000 ","11,000 ",-,11,1,Strong,Transmutation,Craft Wondrous Item,Mnemonic Enhancer,-,21,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-spell-mastery,
Amulet of the Abyss,Neck,"Each amulet of the Abyss bears a demon lord's rune on its face, indicating the lord to which the amulet is attuned. An amulet of the Abyss functions as an unholy symbol to the demon lord. For a worshiper of that demon lord, an amulet of the Abyss functions as a phylactery of faithfulness. An amulet of the Abyss grants its wearer the ability to cast all three spell-like abilities granted by the associated demon lord's first demonic boon, once per day per spell. See the individual demoniac prestige class for the spells each demon lord grants as a boon. Any lawful or good character who wears this amulet gains two negative levels. These negative levels remain as long as the amulet is worn. Although they never result in actual level loss, they cannot be overcome in any way as long as the amulet is worn.",No,"15,000 ","7,500 ",-,5,0,Moderate,Conjuration,Craft Wondrous Item,-,(Misc) must worship a Demon Lord,15,1,"PCS: Book of the Damned, Vol. 2 - Lords of Chaos",http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-abyss,
Amulet of the Blooded (Aberrant),Neck,"Each different type of amulet of the blooded grants its wearer powers from one sorcerer bloodline, but makes him vulnerable to attacks and effects that target creatures with the appropriate bloodline (such as a blood-hunting weapon). If a creature that already has the associated bloodline wears the amulet, the wearer does not gain the abilities listed below; instead, the effective level of his bloodline powers increases by 2. This effect does not stack with other abilities that increase the effective level of bloodline powers. [  Aberrant: This chunk of pitch-black onyx is suspended on a chain of silver. Strange whorls and tentacle-like shapes are etched upon its surface. The wearer gains a 25% chance to negate any critical hit or sneak attack (as the light fortification armor special ability). When making a melee touch attack, the wearer's reach increases by 5 feet.  ]",No,"15,000 ","7,500 ",-,9,1,Moderate,Illusion,Craft Wondrous Item,Blur + Enlarge Person,-,24,2,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-blooded,
Amulet of the Blooded (Abyssal),Neck,"Each different type of amulet of the blooded grants its wearer powers from one sorcerer bloodline, but makes him vulnerable to attacks and effects that target creatures with the appropriate bloodline (such as a blood-hunting weapon). If a creature that already has the associated bloodline wears the amulet, the wearer does not gain the abilities listed below; instead, the effective level of his bloodline powers increases by 2. This effect does not stack with other abilities that increase the effective level of bloodline powers. [  Abyssal: This amulet is a chunk of bright red garnet in which fire seems to dance when light plays across its surface. It hangs from a chain of brass. The wearer gains electricity resistance 5 and a +2 bonus on saving throws against poison. In addition, the wearer can grow claws as a free action. The claws are treated as natural weapons, and allows the wearer to make two claw attacks as a full attack action using his full base attack bonus. The claws deal 1d4 points of damage each (1d3 if the wearer is Small) plus the wearer's Strength modifier.  ]",No,"12,000 ","6,000 ",-,9,1,Moderate,Abjuration,Craft Wondrous Item,Delay Poison + Magic Fang + Resist Energy,-,29,3,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-blooded,
Amulet of the Blooded (Accursed),Neck,"Each different type of amulet of the blooded grants its wearer powers from one sorcerer bloodline, but makes him vulnerable to attacks and effects that target creatures with the appropriate bloodline (such as a blood-hunting weapon). If a creature that already has the associated bloodline wears the amulet, the wearer does not gain the abilities listed below; instead, the effective level of his bloodline powers increases by 2. This effect does not stack with other abilities that increase the effective level of bloodline powers. [  Accursed: This swirling green malachite hangs from a chain of oxidized copper. Sinister, unblinking eyes are etched upon its surface. The wearer gains a +2 bonus on saving throws against charm, cold, fear, fire, and sleep effects. Three times per day as a standard action, the wearer can fix his gaze on any one creature within 60 feet. The target becomes staggered for 4 rounds unless it succeeds at a Will saving throw (DC 18). Only one target can be affected by the wearer's gaze at a time; if the wearer attempts to stagger a new opponent, the previous target immediately recovers whether the new attempt is successful or not.  ]",No,"12,000 ","6,000 ",-,9,1,Moderate,Necromancy,Craft Wondrous Item,Bestow Curse + Resist Energy + Resistance,-,29,3,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-blooded,
Amulet of the Blooded (Celestial),Neck,"Each different type of amulet of the blooded grants its wearer powers from one sorcerer bloodline, but makes him vulnerable to attacks and effects that target creatures with the appropriate bloodline (such as a blood-hunting weapon). If a creature that already has the associated bloodline wears the amulet, the wearer does not gain the abilities listed below; instead, the effective level of his bloodline powers increases by 2. This effect does not stack with other abilities that increase the effective level of bloodline powers. [  Celestial: This large, polished opal hangs from a chain of smoky gray steel. The wearer gains acid resistance 5 and cold resistance 5. Three times per day as a standard action, the wearer can unleash a ray of heavenly fire as a ranged touch attack, targeting any foe within 30 feet. Against evil creatures, the ray deals 1d4+4 points of damage. The damage is divine and not subject to energy resistance or immunity. The ray heals good creatures of 1d4+4 points of damage, but a good creature cannot benefit from the heavenly fire more than once per day. Neutral creatures are unaffected by the ray.  ]",No,"12,000 ","6,000 ",-,9,1,Moderate,Abjuration + Evocation,Craft Wondrous Item,Resist Energy + Scorching Ray,-,24,2,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-blooded,
Amulet of the Blooded (Destined),Neck,"Each different type of amulet of the blooded grants its wearer powers from one sorcerer bloodline, but makes him vulnerable to attacks and effects that target creatures with the appropriate bloodline (such as a blood-hunting weapon). If a creature that already has the associated bloodline wears the amulet, the wearer does not gain the abilities listed below; instead, the effective level of his bloodline powers increases by 2. This effect does not stack with other abilities that increase the effective level of bloodline powers. [  Destined: This chunk of uncut quartz hangs on a platinum chain. The wearer gains a +2 luck bonus on all saving throws and to AC during surprise rounds or any time he is otherwise unaware of an attack. Once per day, the wearer can reroll one attack roll, critical hit confirmation roll, or caster level check to overcome spell resistance. He must decide to use this ability after the first roll is made but before the result is revealed. He must take the second result, even if it's lower.  ]",No,"10,000 ","5,000 ",-,7,1,Moderate,Enchantment,Craft Wondrous Item,Aid,-,17,1,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-blooded,
